date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:10	2317/2317	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20May%202023%2012:36:10%20GMT	https://drive.google.com/uc?id=1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B&export=download	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/uc7beb.html	(from )
15:36:11	245/245	---MCZ	200	added ('OK')	text/plain	date:Mon,%2022%20May%202023%2012:36:11%20GMT	https://drive.google.com/robots.txt		(from )
15:36:11	1594/1594	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2019:48:00%20GMT	http://ssl.gstatic.com/docs/doclist/images/drive_2022q3_32dp.png	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/ssl.gstatic.com/docs/doclist/images/drive_2022q3_32dp.png	(from https://drive.google.com/uc?id=1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B&export=download)
15:36:14	0/0	---M--	307	error ('Temporary%20Redirect')	application/binary	date:Mon,%2022%20May%202023%2012:36:13%20GMT	https://drive.google.com/open?id=1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/open.25bb5.delayed	(from https://drive.google.com/uc?id=1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B&export=download)
15:36:17	75653/75653	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20May%202023%2012:36:16%20GMT	https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view46fc.html	(from https://drive.google.com/uc?id=1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B&export=download)
15:36:18	831/831	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Aug%202020%2000:15:00%20GMT	https://ssl.gstatic.com/images/branding/product/1x/drive_2020q4_32dp.png	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/ssl.gstatic.com/images/branding/product/1x/drive_2020q4_32dp.png	(from https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open)
15:36:19	0/0	---M--	302	error ('Found')	application/binary	date:Mon,%2022%20May%202023%2012:36:19%20GMT	https://drive.google.com/	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/index.html	(from https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open)
15:36:20	1685/1685	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2022%20May%202023%2012:36:20%20GMT	https://drive.google.com/viewer2/prod-00/meta?ck	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/viewer2/prod-00/meta.5d5a5.delayed	(from https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open)
15:36:23	75514/75514	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20May%202023%2012:36:22%20GMT	https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view.html	(from https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open)
15:36:23	1675/1675	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2022%20May%202023%2012:36:23%20GMT	https://drive.google.com/uc?id	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/uc.7b80b.delayed	(from https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open)
15:36:24	3205/3205	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202023%2012:36:24%20GMT	https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/com.tr	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/com.8.delayed	(from https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open)
15:36:25	3205/3205	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202023%2012:36:25%20GMT	https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/gci_91f30755d6a6b787dcc2a4062e6e9824.js	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/gci_91f30755d6a6b787dcc2a4062e6e9824.9.delayed	(from https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open)
15:36:26	3205/3205	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202023%2012:36:26%20GMT	https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/+/	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/+/index.html	(from https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open)
15:36:26	3205/3205	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202023%2012:36:26%20GMT	https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/b	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/b.a.delayed	(from https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open)
15:36:27	3205/3205	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20May%202023%2012:36:26%20GMT	https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/Edg/	C:/Users/orhan/Downloads/Web%20Site/Drive_Download/drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/Edg/index.html	(from https://drive.google.com/file/d/1tOaSn97tMAawsqw9wIg0DLgrE5E1Vx9B/view?usp=drive_open)
